0.7716666666666666	0.7586666666666667	0.7516666666666667	0.7563333333333333	0.7595833333333334
0.881	0.877	0.8696666666666667	0.892	0.8799166666666667
0.917	0.9206666666666666	0.9043333333333333	0.921	0.91575
0.9253333333333333	0.9363333333333334	0.921	0.9316666666666666	0.9285833333333333
0.949	0.9323333333333333	0.9476666666666667	0.935	0.941
0.9536666666666667	0.9573333333333334	0.9403333333333334	0.946	0.9493333333333334
0.9603333333333334	0.958	0.9446666666666667	0.952	0.95375
0.9563333333333334	0.9616666666666667	0.951	0.961	0.9575
0.09133333333333334	0.08433333333333333	0.09366666666666666	0.084	0.08833333333333333
0.095	0.09433333333333334	0.09466666666666666	0.096	0.095
